clients_count,epochs,batch_size,round,nmi,ari,accuracy,test_accuracy
10,300,64,2,0.0,0.0,0.78298,0.76271
10,300,64,3,0.0,0.0,0.78298,0.76271
10,300,64,4,0.0,0.0,0.78298,0.76271
10,300,64,5,0.0,0.0,0.78298,0.76271
10,300,64,6,0.0,0.0,0.78298,0.76271
10,300,64,7,0.0,0.0,0.78298,0.76271
10,300,64,8,0.0,0.0,0.78298,0.76271
10,300,64,9,0.0,0.0,0.78298,0.76271
10,300,64,10,0.0,0.0,0.78298,0.76271
10,300,64,11,0.0,0.0,0.78298,0.76271
10,300,64,12,0.0,0.0,0.78298,0.76271
10,300,64,13,0.0,0.0,0.78298,0.76271
10,300,64,14,0.0,0.0,0.78298,0.76271
10,300,64,15,0.0,0.0,0.78298,0.76271
10,300,64,16,0.0,0.0,0.78298,0.76271
10,300,64,17,0.0,0.0,0.78298,0.76271
10,300,64,18,0.0,0.0,0.78298,0.76271
10,300,64,19,0.0,0.0,0.78298,0.76271
10,300,64,20,0.0,0.0,0.78298,0.76271
10,300,64,21,0.0,0.0,0.78298,0.76271
10,300,64,22,0.0,0.0,0.78298,0.76271
10,300,64,23,0.0,0.0,0.78298,0.76271
10,300,64,24,0.0,0.0,0.78298,0.76271
10,300,64,25,0.0,0.0,0.78298,0.76271
10,300,64,26,0.0,0.0,0.78298,0.76271
10,300,64,27,0.0,0.0,0.78298,0.76271
10,300,64,28,0.0,0.0,0.78298,0.76271
10,300,64,29,0.0,0.0,0.78298,0.76271
10,300,64,30,0.0,0.0,0.78298,0.76271
10,300,64,31,0.0,0.0,0.78298,0.76271
10,300,64,32,0.0,0.0,0.78298,0.76271
10,300,64,33,0.0,0.0,0.78298,0.76271
10,300,64,34,0.0,0.0,0.78298,0.76271
10,300,64,35,0.0,0.0,0.78298,0.76271
10,300,64,36,0.0,0.0,0.78298,0.76271
10,300,64,37,0.0,0.0,0.78298,0.76271
10,300,64,38,0.0,0.0,0.78298,0.76271
10,300,64,39,0.0,0.0,0.78298,0.76271
10,300,64,40,0.0,0.0,0.78298,0.76271
10,300,64,41,0.0,0.0,0.78298,0.76271
10,300,64,42,0.0,0.0,0.78298,0.76271
10,300,64,43,0.0,0.0,0.78298,0.76271
10,300,64,44,0.0,0.0,0.78298,0.76271
10,300,64,45,0.0,0.0,0.78298,0.76271
10,300,64,46,0.0,0.0,0.78298,0.76271
10,300,64,47,0.0,0.0,0.78298,0.76271
10,300,64,48,0.0,0.0,0.78298,0.76271
10,300,64,49,0.0,0.0,0.78298,0.76271
10,300,64,50,0.0,0.0,0.78298,0.76271
10,300,64,51,0.0,0.0,0.78298,0.76271
10,300,64,52,0.0,0.0,0.78298,0.76271
10,300,64,53,0.0,0.0,0.78298,0.76271
10,300,64,54,0.0,0.0,0.78298,0.76271
10,300,64,55,0.0,0.0,0.78298,0.76271
10,300,64,56,0.0,0.0,0.78298,0.76271
10,300,64,57,0.0,0.0,0.78298,0.76271
10,300,64,58,0.0,0.0,0.78298,0.76271
10,300,64,59,0.0,0.0,0.78298,0.76271
10,300,64,60,0.0,0.0,0.78298,0.76271
10,300,64,61,0.0,0.0,0.78298,0.76271
10,300,64,62,0.0,0.0,0.78298,0.76271
10,300,64,63,0.0,0.0,0.78298,0.76271
10,300,64,64,0.0,0.0,0.78298,0.76271
10,300,64,65,0.0,0.0,0.78298,0.76271
10,300,64,66,0.0,0.0,0.78298,0.76271
10,300,64,67,0.0,0.0,0.78298,0.76271
10,300,64,68,0.0,0.0,0.78298,0.76271
10,300,64,69,0.0,0.0,0.78298,0.76271
10,300,64,70,0.0,0.0,0.78298,0.76271
10,300,64,71,0.0,0.0,0.78298,0.76271
10,300,64,72,0.0,0.0,0.78298,0.76271
10,300,64,73,0.0,0.0,0.78298,0.76271
10,300,64,74,0.0,0.0,0.78298,0.76271
10,300,64,75,0.0,0.0,0.78298,0.76271
10,300,64,76,0.0,0.0,0.78298,0.76271
10,300,64,77,0.0,0.0,0.78298,0.76271
10,300,64,78,0.0,0.0,0.78298,0.76271
10,300,64,79,0.0,0.0,0.78298,0.76271
10,300,64,80,0.0,0.0,0.78298,0.76271
10,300,64,81,0.0,0.0,0.78298,0.76271
10,300,64,82,0.0,0.0,0.78298,0.76271
10,300,64,83,0.0,0.0,0.78298,0.76271
10,300,64,84,0.0,0.0,0.78298,0.76271
10,300,64,85,0.0,0.0,0.78298,0.76271
10,300,64,86,0.0,0.0,0.78298,0.76271
10,300,64,87,0.0,0.0,0.78298,0.76271
10,300,64,88,0.0,0.0,0.78298,0.76271
10,300,64,89,0.0,0.0,0.78298,0.76271
10,300,64,90,0.0,0.0,0.78298,0.76271
10,300,64,91,0.0,0.0,0.78298,0.76271
10,300,64,92,0.0,0.0,0.78298,0.76271
10,300,64,93,0.0,0.0,0.78298,0.76271
10,300,64,94,0.0,0.0,0.78298,0.76271
10,300,64,95,0.0,0.0,0.78298,0.76271
10,300,64,96,0.0,0.0,0.78298,0.76271
10,300,64,97,0.0,0.0,0.78298,0.76271
10,300,64,98,0.0,0.0,0.78298,0.76271
10,300,64,99,0.0,0.0,0.78298,0.76271
10,300,64,100,0.0,0.0,0.78298,0.76271
10,300,64,101,0.0,0.0,0.78298,0.76271
10,300,64,102,0.0,0.0,0.78298,0.76271
10,300,64,103,0.0,0.0,0.78298,0.76271
10,300,64,104,0.0,0.0,0.78298,0.76271
10,300,64,105,0.0,0.0,0.78298,0.76271
10,300,64,106,0.0,0.0,0.78298,0.76271
10,300,64,107,0.0,0.0,0.78298,0.76271
10,300,64,108,0.0,0.0,0.78298,0.76271
10,300,64,109,0.0,0.0,0.78298,0.76271
10,300,64,110,0.0,0.0,0.78298,0.76271
10,300,64,111,0.0,0.0,0.78298,0.76271
10,300,64,112,0.0,0.0,0.78298,0.76271
10,300,64,113,0.0,0.0,0.78298,0.76271
10,300,64,114,0.0,0.0,0.78298,0.76271
10,300,64,115,0.0,0.0,0.78298,0.76271
10,300,64,116,0.0,0.0,0.78298,0.76271
10,300,64,117,0.0,0.0,0.78298,0.76271
10,300,64,118,0.0,0.0,0.78298,0.76271
10,300,64,119,0.0,0.0,0.78298,0.76271
10,300,64,120,0.0,0.0,0.78298,0.76271
10,300,64,121,0.0,0.0,0.78298,0.76271
10,300,64,122,0.0,0.0,0.78298,0.76271
10,300,64,123,0.0,0.0,0.78298,0.76271
10,300,64,124,0.0,0.0,0.78298,0.76271
10,300,64,125,0.0,0.0,0.78298,0.76271
10,300,64,126,0.0,0.0,0.78298,0.76271
10,300,64,127,0.0,0.0,0.78298,0.76271
10,300,64,128,0.0,0.0,0.78298,0.76271
10,300,64,129,0.0,0.0,0.78298,0.76271
10,300,64,130,0.0,0.0,0.78298,0.76271
10,300,64,131,0.0,0.0,0.78298,0.76271
10,300,64,132,0.0,0.0,0.78298,0.76271
10,300,64,133,0.0,0.0,0.78298,0.76271
10,300,64,134,0.0,0.0,0.78298,0.76271
10,300,64,135,0.0,0.0,0.78298,0.76271
10,300,64,136,0.0,0.0,0.78298,0.76271
10,300,64,137,0.0,0.0,0.78298,0.76271
10,300,64,138,0.08814,0.12098,0.80426,0.77966
10,300,64,139,0.14139,0.22293,0.82128,0.83051
10,300,64,140,0.18575,0.28048,0.83404,0.86441
10,300,64,141,0.21548,0.31844,0.84255,0.88136
10,300,64,142,0.26042,0.37484,0.85532,0.88136
10,300,64,143,0.35459,0.51827,0.88511,0.91525
10,300,64,144,0.40566,0.56752,0.89787,0.89831
10,300,64,145,0.35308,0.52647,0.88511,0.89831
10,300,64,146,0.32411,0.50037,0.8766,0.88136
10,300,64,147,0.32191,0.49201,0.8766,0.89831
10,300,64,148,0.29499,0.47087,0.86383,0.86441
10,300,64,149,0.31023,0.48669,0.86809,0.86441
10,300,64,150,0.3539,0.53031,0.88511,0.88136
10,300,64,151,0.29594,0.4711,0.86809,0.88136
10,300,64,152,0.29594,0.4711,0.86809,0.88136
10,300,64,153,0.3293,0.50805,0.8766,0.88136
10,300,64,154,0.34206,0.5209,0.88085,0.86441
10,300,64,155,0.3293,0.50805,0.8766,0.88136
10,300,64,156,0.31725,0.49543,0.87234,0.88136
10,300,64,157,0.30497,0.47805,0.86383,0.86441
10,300,64,158,0.3226,0.49628,0.8766,0.88136
10,300,64,159,0.32636,0.50429,0.8766,0.88136
10,300,64,160,0.3293,0.50805,0.8766,0.88136
10,300,64,161,0.33969,0.51718,0.88085,0.86441
10,300,64,162,0.3614,0.54091,0.88511,0.86441
10,300,64,163,0.33969,0.51718,0.88085,0.88136
10,300,64,164,0.35326,0.52245,0.88511,0.89831
10,300,64,165,0.3293,0.50805,0.8766,0.88136
10,300,64,166,0.32636,0.50429,0.8766,0.89831
10,300,64,167,0.30883,0.48357,0.87234,0.89831
10,300,64,168,0.33736,0.50924,0.88085,0.89831
10,300,64,169,0.3293,0.50805,0.8766,0.89831
10,300,64,170,0.33969,0.51718,0.88085,0.89831
10,300,64,171,0.33736,0.50924,0.88085,0.91525
10,300,64,172,0.33736,0.50924,0.88085,0.91525
10,300,64,173,0.33969,0.51718,0.88085,0.89831
10,300,64,174,0.37002,0.54734,0.88936,0.89831
10,300,64,175,0.3539,0.53031,0.88511,0.91525
10,300,64,176,0.37187,0.55083,0.88936,0.89831
10,300,64,177,0.38852,0.56767,0.89362,0.89831
10,300,64,178,0.37807,0.55738,0.88936,0.88136
10,300,64,179,0.3539,0.53031,0.88511,0.91525
10,300,64,180,0.37187,0.55083,0.88936,0.88136
10,300,64,181,0.3539,0.53031,0.88511,0.88136
10,300,64,182,0.37807,0.55738,0.88936,0.89831
10,300,64,183,0.34206,0.5209,0.88085,0.89831
10,300,64,184,0.3539,0.53031,0.88511,0.91525
10,300,64,185,0.35812,0.53753,0.88511,0.89831
10,300,64,186,0.35812,0.53753,0.88511,0.89831
10,300,64,187,0.33969,0.51718,0.88085,0.89831
10,300,64,188,0.33969,0.51718,0.88085,0.89831
10,300,64,189,0.3539,0.53031,0.88511,0.89831
10,300,64,190,0.33969,0.51718,0.88085,0.89831
10,300,64,191,0.35561,0.534,0.88511,0.89831
10,300,64,192,0.3539,0.53031,0.88511,0.89831
10,300,64,193,0.37002,0.54734,0.88936,0.89831
10,300,64,194,0.37187,0.55083,0.88936,0.89831
10,300,64,195,0.37002,0.54734,0.88936,0.89831
10,300,64,196,0.3865,0.56437,0.89362,0.89831
10,300,64,197,0.3865,0.56437,0.89362,0.89831
10,300,64,198,0.3865,0.56437,0.89362,0.89831
10,300,64,199,0.37187,0.55083,0.88936,0.89831
10,300,64,200,0.35812,0.53753,0.88511,0.89831
10,300,64,201,0.35812,0.53753,0.88511,0.88136
10,300,64,202,0.3226,0.49628,0.8766,0.9322
10,300,64,203,0.40557,0.58453,0.89787,0.89831
10,300,64,204,0.3691,0.54369,0.88936,0.89831
10,300,64,205,0.37002,0.54734,0.88936,0.89831
10,300,64,206,0.38852,0.56767,0.89362,0.89831
10,300,64,207,0.3691,0.54369,0.88936,0.88136
10,300,64,208,0.40874,0.58752,0.89787,0.89831
10,300,64,209,0.35561,0.534,0.88511,0.89831
10,300,64,210,0.40557,0.58453,0.89787,0.89831
10,300,64,211,0.37457,0.55417,0.88936,0.89831
10,300,64,212,0.34516,0.52447,0.88085,0.89831
10,300,64,213,0.37187,0.55083,0.88936,0.89831
10,300,64,214,0.41915,0.5954,0.90213,0.91525
10,300,64,215,0.35812,0.53753,0.88511,0.89831
10,300,64,216,0.35561,0.534,0.88511,0.88136
10,300,64,217,0.35308,0.52647,0.88511,0.89831
10,300,64,218,0.36541,0.54416,0.88511,0.89831
10,300,64,219,0.35308,0.52647,0.88511,0.89831
10,300,64,220,0.37187,0.55083,0.88936,0.89831
10,300,64,221,0.38852,0.56767,0.89362,0.89831
10,300,64,222,0.3865,0.56437,0.89362,0.89831
10,300,64,223,0.3293,0.50805,0.8766,0.89831
10,300,64,224,0.34206,0.5209,0.88085,0.89831
10,300,64,225,0.3865,0.56437,0.89362,0.89831
10,300,64,226,0.3865,0.56437,0.89362,0.89831
10,300,64,227,0.34516,0.52447,0.88085,0.89831
10,300,64,228,0.37002,0.54734,0.88936,0.88136
10,300,64,229,0.3865,0.56437,0.89362,0.88136
10,300,64,230,0.3865,0.56437,0.89362,0.88136
10,300,64,231,0.3865,0.56437,0.89362,0.89831
10,300,64,232,0.37187,0.55083,0.88936,0.9322
10,300,64,233,0.40211,0.57816,0.89787,0.88136
10,300,64,234,0.40211,0.57816,0.89787,0.88136
10,300,64,235,0.40334,0.58141,0.89787,0.89831
10,300,64,236,0.34206,0.5209,0.88085,0.89831
10,300,64,237,0.32216,0.48756,0.8766,0.88136
10,300,64,238,0.37002,0.54734,0.88936,0.88136
10,300,64,239,0.33969,0.51718,0.88085,0.88136
10,300,64,240,0.38543,0.56092,0.89362,0.89831
10,300,64,241,0.43828,0.61554,0.90638,0.89831
10,300,64,242,0.40334,0.58141,0.89787,0.89831
10,300,64,243,0.42059,0.59847,0.90213,0.88136
10,300,64,244,0.37457,0.55417,0.88936,0.86441
10,300,64,245,0.40334,0.58141,0.89787,0.88136
10,300,64,246,0.37457,0.55417,0.88936,0.91525
10,300,64,247,0.40557,0.58453,0.89787,0.89831
10,300,64,248,0.40334,0.58141,0.89787,0.88136
10,300,64,249,0.38852,0.56767,0.89362,0.88136
10,300,64,250,0.35812,0.53753,0.88511,0.91525
10,300,64,251,0.40211,0.57816,0.89787,0.88136
10,300,64,252,0.40211,0.57816,0.89787,0.88136
10,300,64,253,0.42059,0.59847,0.90213,0.89831
10,300,64,254,0.40211,0.57816,0.89787,0.88136
10,300,64,255,0.38543,0.56092,0.89362,0.89831
10,300,64,256,0.37187,0.55083,0.88936,0.89831
10,300,64,257,0.3865,0.56437,0.89362,0.89831
10,300,64,258,0.3865,0.56437,0.89362,0.89831
10,300,64,259,0.3865,0.56437,0.89362,0.88136
10,300,64,260,0.3865,0.56437,0.89362,0.88136
10,300,64,261,0.43828,0.61554,0.90638,0.88136
10,300,64,262,0.3865,0.56437,0.89362,0.88136
10,300,64,263,0.41885,0.5922,0.90213,0.89831
10,300,64,264,0.3865,0.56437,0.89362,0.89831
10,300,64,265,0.40211,0.57816,0.89787,0.91525
10,300,64,266,0.39143,0.57083,0.89362,0.88136
10,300,64,267,0.40874,0.58752,0.89787,0.89831
10,300,64,268,0.3865,0.56437,0.89362,0.88136
10,300,64,269,0.40334,0.58141,0.89787,0.88136
10,300,64,270,0.37002,0.54734,0.88936,0.91525
10,300,64,271,0.37187,0.55083,0.88936,0.88136
10,300,64,272,0.35812,0.53753,0.88511,0.88136
10,300,64,273,0.40557,0.58453,0.89787,0.88136
10,300,64,274,0.37002,0.54734,0.88936,0.91525
10,300,64,275,0.38852,0.56767,0.89362,0.89831
10,300,64,276,0.3865,0.56437,0.89362,0.88136
10,300,64,277,0.37002,0.54734,0.88936,0.88136
10,300,64,278,0.3865,0.56437,0.89362,0.88136
10,300,64,279,0.40334,0.58141,0.89787,0.88136
10,300,64,280,0.41915,0.5954,0.90213,0.88136
10,300,64,281,0.43828,0.61554,0.90638,0.88136
10,300,64,282,0.41885,0.5922,0.90213,0.89831
10,300,64,283,0.41915,0.5954,0.90213,0.86441
10,300,64,284,0.3534,0.53116,0.88085,0.89831
10,300,64,285,0.3226,0.49628,0.8766,0.9322
10,300,64,286,0.38543,0.56092,0.89362,0.88136
10,300,64,287,0.42307,0.60141,0.90213,0.88136
10,300,64,288,0.41885,0.5922,0.90213,0.91525
10,300,64,289,0.40211,0.57816,0.89787,0.89831
10,300,64,290,0.38852,0.56767,0.89362,0.89831
10,300,64,291,0.41885,0.5922,0.90213,0.89831
10,300,64,292,0.41915,0.5954,0.90213,0.89831
10,300,64,293,0.41915,0.5954,0.90213,0.89831
10,300,64,294,0.40211,0.57816,0.89787,0.89831
10,300,64,295,0.39519,0.57386,0.89362,0.91525
10,300,64,296,0.35812,0.53753,0.88511,0.91525
10,300,64,297,0.33893,0.5006,0.88085,0.88136
10,300,64,298,0.40334,0.58141,0.89787,0.88136
10,300,64,299,0.40211,0.57816,0.89787,0.89831
10,300,64,300,0.35812,0.53753,0.88511,0.91525
10,300,64,301,0.37457,0.55417,0.88936,0.91525
